text,label,source,notes
"I did it for me. I liked it... I was good at it. And I was alive. I'm crying right now. Bravo Walt. It's really over.",reaction,r/breakingbad,finale discussion thread
"Jesse was free and happy. Walt died in a chemistry lab also happy. The family will get $10 million. Todd Lydia and the nazis are dead. Badger and Skinny Pete made some fat stacks. Jesse got to kill Todd himself. Walt made peace with his family. I really wasn't expecting to have so many warm feelings after the finale. I couldn't ask for anything more.",reaction,r/breakingbad,finale discussion thread
"10/10 Would watch entire series again.",reaction,r/breakingbad,finale discussion thread
"Watching Jesse choke the life from Todd gave me a murder boner.",reaction,r/breakingbad,finale discussion thread
"JUNIOR NEVER GOT HIS BREAKFAST THOUGH. WORST FINALE EVER.",reaction,r/breakingbad,finale discussion - clearly joking but pure reaction
"One word for the finale: Satisfying. No more no less. And I'm perfectly happy with that.",reaction,r/breakingbad,finale discussion thread
"stress level through the roof when walt was looking around elliott and gretchen's house",reaction,r/breakingbad,finale discussion thread
"JESSE LEFT WITH A SMILE ON HIS FACE THATS ALL I EVER WANTED",reaction,r/breakingbad,finale discussion thread
"May I see her? brb crying",reaction,r/breakingbad,finale discussion thread
"I thought he was going to cook 1 last batch",reaction,r/breakingbad,finale discussion thread
"I THOUGHT HE WAS GONNA COOK 1 LAST BATCH",reaction,r/breakingbad,finale discussion thread
"GUYS I'M FREAKING THE FUCK OUT",reaction,r/breakingbad,finale discussion thread
"I want to believe Badger and Skinny Pete used their money to film a live action version of Badger's Star Trek script. Then it would really be a happy ending",reaction,r/breakingbad,finale discussion - celebratory/emotional reaction
"This scene at Skylers house was so sad. The most honest farewell ive seen in years. Knowing Walt for years.. This felt so humble.",reaction,r/breakingbad,finale discussion thread
"The stuff Walt just said about him doing it for himself and liking it. I'm starting to understand now why Vince Gilligan and others have said this finale was unapologetic. Wow. I'm in awe.",reaction,r/breakingbad,finale discussion thread
"I think Jesse and Walt forgave each other as much as they possibly could. That head nod at the end said that everything was just over. Not ok not that they loved each other but that they understood that either one could have killed the other with due cause but would not. They were just done. I loved it.",reaction,r/breakingbad,edge case - has some reading of the scene but primarily expressing emotional satisfaction
"Walt died where he did the most of his living.",reaction,r/breakingbad,finale discussion - brief emotional observation
